.imp,variable,variable_label,level,arm,arm_id,n_level,pct_level,weighted_pct_level,min_n_across_arms,min_weighted_pct_across_arms,zero_count_arm_n
3,admission_type_group,Admission type,ELECTIVE_SURGICAL,0-3h,1,561,0.163128816516429,0.0934800192337785,178,0.0892821236109151,0
3,admission_type_group,Admission type,ELECTIVE_SURGICAL,3-6h,2,190,0.05862388151805,0.0892821236109151,178,0.0892821236109151,0
3,admission_type_group,Admission type,ELECTIVE_SURGICAL,6-12h,3,178,0.0354793701415188,0.10247669097533,178,0.0892821236109151,0
3,admission_type_group,Admission type,EMERGENCY,0-3h,1,1301,0.378307647571969,0.589837720597475,1301,0.589837720597475,0
3,admission_type_group,Admission type,EMERGENCY,3-6h,2,2215,0.68343103980253,0.607622456264142,1301,0.589837720597475,0
3,admission_type_group,Admission type,EMERGENCY,6-12h,3,3794,0.756228822005182,0.593765913679079,1301,0.589837720597475,0
3,admission_type_group,Admission type,OBSERVATION,0-3h,1,252,0.073277115440535,0.102931663806424,252,0.102931663806424,0
3,admission_type_group,Admission type,OBSERVATION,3-6h,2,264,0.0814563406356063,0.104913682327234,252,0.102931663806424,0
3,admission_type_group,Admission type,OBSERVATION,6-12h,3,531,0.105840143512059,0.105302491721119,252,0.102931663806424,0
3,admission_type_group,Admission type,URGENT,0-3h,1,1325,0.385286420471067,0.213750596362323,514,0.198181737797709,0
3,admission_type_group,Admission type,URGENT,3-6h,2,572,0.176488738043814,0.198181737797709,514,0.198181737797709,0
3,admission_type_group,Admission type,URGENT,6-12h,3,514,0.10245166434124,0.198454903624472,514,0.198181737797709,0
4,admission_type_group,Admission type,ELECTIVE_SURGICAL,0-3h,1,561,0.163128816516429,0.093453038954994,178,0.0892799115240619,0
4,admission_type_group,Admission type,ELECTIVE_SURGICAL,3-6h,2,190,0.05862388151805,0.0892799115240619,178,0.0892799115240619,0
4,admission_type_group,Admission type,ELECTIVE_SURGICAL,6-12h,3,178,0.0354793701415188,0.102474554760486,178,0.0892799115240619,0
4,admission_type_group,Admission type,EMERGENCY,0-3h,1,1301,0.378307647571969,0.589855106954501,1301,0.589855106954501,0
4,admission_type_group,Admission type,EMERGENCY,3-6h,2,2215,0.68343103980253,0.607624196681064,1301,0.589855106954501,0
4,admission_type_group,Admission type,EMERGENCY,6-12h,3,3794,0.756228822005182,0.593770233836061,1301,0.589855106954501,0
4,admission_type_group,Admission type,OBSERVATION,0-3h,1,252,0.073277115440535,0.102928988083266,252,0.102928988083266,0
4,admission_type_group,Admission type,OBSERVATION,3-6h,2,264,0.0814563406356063,0.104913164371367,252,0.102928988083266,0
4,admission_type_group,Admission type,OBSERVATION,6-12h,3,531,0.105840143512059,0.105302321196418,252,0.102928988083266,0
4,admission_type_group,Admission type,URGENT,0-3h,1,1325,0.385286420471067,0.213762866007239,514,0.198182727423507,0
4,admission_type_group,Admission type,URGENT,3-6h,2,572,0.176488738043814,0.198182727423507,514,0.198182727423507,0
4,admission_type_group,Admission type,URGENT,6-12h,3,514,0.10245166434124,0.198452890207034,514,0.198182727423507,0
5,admission_type_group,Admission type,ELECTIVE_SURGICAL,0-3h,1,561,0.163128816516429,0.0934799536610161,178,0.0892838903808537,0
5,admission_type_group,Admission type,ELECTIVE_SURGICAL,3-6h,2,190,0.05862388151805,0.0892838903808537,178,0.0892838903808537,0
5,admission_type_group,Admission type,ELECTIVE_SURGICAL,6-12h,3,178,0.0354793701415188,0.102469328060926,178,0.0892838903808537,0
5,admission_type_group,Admission type,EMERGENCY,0-3h,1,1301,0.378307647571969,0.589837667195466,1301,0.589837667195466,0
5,admission_type_group,Admission type,EMERGENCY,3-6h,2,2215,0.68343103980253,0.607627599279178,1301,0.589837667195466,0
5,admission_type_group,Admission type,EMERGENCY,6-12h,3,3794,0.756228822005182,0.593775863038753,1301,0.589837667195466,0
5,admission_type_group,Admission type,OBSERVATION,0-3h,1,252,0.073277115440535,0.102932079120691,252,0.102932079120691,0
5,admission_type_group,Admission type,OBSERVATION,3-6h,2,264,0.0814563406356063,0.104914987032608,252,0.102932079120691,0
5,admission_type_group,Admission type,OBSERVATION,6-12h,3,531,0.105840143512059,0.105302579061594,252,0.102932079120691,0
5,admission_type_group,Admission type,URGENT,0-3h,1,1325,0.385286420471067,0.213750300022826,514,0.198173523307361,0
5,admission_type_group,Admission type,URGENT,3-6h,2,572,0.176488738043814,0.198173523307361,514,0.198173523307361,0
5,admission_type_group,Admission type,URGENT,6-12h,3,514,0.10245166434124,0.198452229838726,514,0.198173523307361,0
1,sofa_total_t0_missing,Baseline SOFA missing,0,0-3h,1,3438,0.999709217795871,0.9996826245036,3238,0.999407444767406,0
1,sofa_total_t0_missing,Baseline SOFA missing,0,3-6h,2,3238,0.999074359765505,0.999417094626499,3238,0.999407444767406,0
1,sofa_total_t0_missing,Baseline SOFA missing,0,6-12h,3,5012,0.999003388479171,0.999407444767406,3238,0.999407444767406,0
1,sofa_total_t0_missing,Baseline SOFA missing,1,0-3h,1,1,0.000290782204129107,0.000317375496399989,1,0.000317375496399989,0
1,sofa_total_t0_missing,Baseline SOFA missing,1,3-6h,2,3,0.000925640234495526,0.000582905373501508,1,0.000317375496399989,0
1,sofa_total_t0_missing,Baseline SOFA missing,1,6-12h,3,5,0.000996611520829181,0.000592555232593666,1,0.000317375496399989,0
2,sofa_total_t0_missing,Baseline SOFA missing,0,0-3h,1,3438,0.999709217795871,0.999704950484517,3238,0.999343469808376,0
2,sofa_total_t0_missing,Baseline SOFA missing,0,3-6h,2,3238,0.999074359765505,0.999343469808376,3238,0.999343469808376,0
2,sofa_total_t0_missing,Baseline SOFA missing,0,6-12h,3,5012,0.999003388479171,0.999429077602221,3238,0.999343469808376,0
2,sofa_total_t0_missing,Baseline SOFA missing,1,0-3h,1,1,0.000290782204129107,0.000295049515482713,1,0.000295049515482713,0
2,sofa_total_t0_missing,Baseline SOFA missing,1,3-6h,2,3,0.000925640234495526,0.000656530191624241,1,0.000295049515482713,0
2,sofa_total_t0_missing,Baseline SOFA missing,1,6-12h,3,5,0.000996611520829181,0.000570922397778415,1,0.000295049515482713,0
3,sofa_total_t0_missing,Baseline SOFA missing,0,0-3h,1,3438,0.999709217795871,0.99973226164173,3238,0.999351870948445,0
3,sofa_total_t0_missing,Baseline SOFA missing,0,3-6h,2,3238,0.999074359765505,0.999351870948445,3238,0.999351870948445,0
3,sofa_total_t0_missing,Baseline SOFA missing,0,6-12h,3,5012,0.999003388479171,0.999428616462674,3238,0.999351870948445,0
3,sofa_total_t0_missing,Baseline SOFA missing,1,0-3h,1,1,0.000290782204129107,0.000267738358269628,1,0.000267738358269628,0
